marca,modelo,ano,km,preco_eur,combustivel,transmissao,condicao,localizacao,data_anuncio,url,titulo,imagem_url,pagina_origem,recolhido_em
BMW,X3 20,2012.0,145298.0,23990.0,,,,Trofa,Hoje às 16:57,https://www.standvirtual.com/carros/anuncio/bmw-x3-20-d-xdrive-pack-m-auto-ID8PZPkG.html,BMW X3 20 d xDrive Pack M Auto,,10,2026-06-21 23:46
Mbw,grand Tourer,2021.0,98000.0,16000.0,,,,"Algés, Linda-A-Velha E Cruz Quebrada-Dafundo",18 de junho de 2026,https://www.olx.pt/d/anuncio/mbw-grand-tourer-lci-serie-2-line-sport-auto-IDJsCIn.html?search_reason=search%7Corganic,MBW grand Tourer LCI SERIE 2 line sport auto,,10,2026-06-21 23:46
BMW,cabrio série,2007.0,281167.0,12800.0,,,,Vila Nova De Famalicão E Calendário,Para o topo a 20 de junho de 2026,https://www.olx.pt/d/anuncio/bmw-cabrio-srie-3-IDJr4aK.html?search_reason=search%7Corganic,BMW cabrio série 3,,10,2026-06-21 23:46
BMW,x1 -S-Drive,2010.0,220000.0,10900.0,,,,Figueiredo,20 de junho de 2026,https://www.olx.pt/d/anuncio/bmw-x1-s-drive-18d-sportline-nacional-IDJl81K.html?search_reason=search%7Corganic,BMW x1 -S-Drive 18d SportLine Nacional,,10,2026-06-21 23:46
BMW,iX xDrive40,2023.0,44000.0,52500.0,,,,Carnaxide E Queijas,Para o topo a 19 de junho de 2026,https://www.olx.pt/d/anuncio/bmw-ix-xdrive40-pack-m-2023-45-000-km-nacional-particular-IDJqaIu.html?search_reason=search%7Cpromoted,BMW iX xDrive40 Pack M | 2023 | 45.000 km | Nacional | Particular,,10,2026-06-21 23:46
BMW,e46 320i,,236.0,5500.0,,,,"Gondomar (São Cosme), Valbom E Jovim",Para o topo a 18 de junho de 2026,https://www.olx.pt/d/anuncio/bmw-e46-320i-nacional-IDJnPqn.html?search_reason=search%7Cpromoted,BMW e46 320i Nacional,,10,2026-06-21 23:46
BMW,116 d,2023.0,39500.0,25500.0,,,,Algueirão-Mem Martins,Para o topo hoje às 09:52,https://www.standvirtual.com/carros/anuncio/bmw-116-d-pack-essence-ID8Q0eUI.html,BMW 116 d Pack Essence,,10,2026-06-21 23:46
BMW,750 750e,2026.0,1.0,132293.0,,,,Porto Salvo,Para o topo hoje às 22:08,https://www.standvirtual.com/carros/anuncio/bmw-750-750e-xdrive-ID8PYGGe.html,BMW 750 750e xDrive,,10,2026-06-21 23:46
BMW,120,2012.0,195369.0,16990.0,,,,Fânzeres E São Pedro Da Cova,Para o topo a 20 de junho de 2026,https://www.standvirtual.com/carros/anuncio/bmw-120-ID8Q0yIb.html,BMW 120,,10,2026-06-21 23:46
BMW,116 d,2017.0,153086.0,16990.0,,,,Vila Boa do Bispo,Para o topo hoje às 22:55,https://www.standvirtual.com/carros/anuncio/bmw-116-d-sport-line-ID8PYYxm.html,BMW 116 d Sport Line,,10,2026-06-21 23:46
BMW,630 -,2006.0,169234.0,17990.0,,,,Arões (Santa Cristina),Hoje às 19:25,https://www.olx.pt/d/anuncio/bmw-630-jll-ac-schnitzer-IDJaGM3.html?search_reason=search%7Corganic,Bmw 630 - JLL AC SCHNITZER,,10,2026-06-21 23:46
BMW,E39 535i,,,10500.0,,,,Santa Catarina Fonte Bispo,19 de junho de 2026,https://www.olx.pt/d/anuncio/bmw-e39-535i-v8-IDJsLfu.html?search_reason=search%7Corganic,Bmw E39 535i V8,,10,2026-06-21 23:46
BMW,330 e,2019.0,81373.0,26000.0,,,,Parque das Nações,Para o topo a 19 de junho de 2026,https://www.olx.pt/d/anuncio/bmw-330-e-corporate-edition-auto-IDJswGi.html?search_reason=search%7Corganic,BMW 330 e Corporate Edition Auto,,10,2026-06-21 23:46
BMW,X4 xDrive20d,2017.0,225000.0,24990.0,,,,Santa Eufémia E Boa Vista,Hoje às 01:10,https://www.olx.pt/d/anuncio/bmw-x4-xdrive20d-190cv-pack-m-nacional-IDJmhp5.html?search_reason=search%7Corganic,BMW X4 xDrive20d 190cv - Pack M - Nacional,,10,2026-06-21 23:46
BMW,i4 M50,2023.0,10992.0,55950.0,,,,"Gondomar (São Cosme), Valbom E Jovim",19 de junho de 2026,https://www.standvirtual.com/carros/anuncio/bmw-i4-m50-gran-coupe-ID8Q0v3k.html,BMW i4 M50 Gran Coupe,,10,2026-06-21 23:46
BMW,218 Active,2014.0,149950.0,15900.0,,,,Coimbra,Hoje às 20:39,https://www.standvirtual.com/carros/anuncio/bmw-218-active-tourer-d-line-luxury-auto-ID8PZg7u.html,BMW 218 Active Tourer d Line Luxury Auto,,10,2026-06-21 23:46
BMW,420 Gran,2018.0,223000.0,22900.0,,,,Taíde,Para o topo a 20 de junho de 2026,https://www.standvirtual.com/carros/anuncio/bmw-420-gran-coup-d-pack-m-auto-ID8Q0xoD.html,BMW 420 Gran Coupé d Pack M Auto,,10,2026-06-21 23:46
